sentence1;sentence2
Twelve days later, I made my second.;It took twelve days to make another.
"The number of Arawak had already fallen dramatically, so the Spanish began to import slaves from Africa to work the land; the first Africans arrived in 1517.";The Spanish had plenty of Arawak to use as slaves.
and enjoy nature and uh kind of wipe out the stress of everyday life i'd always;I like to get out in nature and de-stress.
but i i don't ever feel the need to dress that warmly i i don't have to travel that far to work uh what what what what about uh your clothes in the winter time up there;I have to catch a plane to go to work.
"Mrs. Vandemeyer, she read, ""20 South Audley Mansions.";20 South Audley Mansions is a book that Mrs. Vandemeyer read.
I'd call it a bad date.;I'd consider it a bad date because the girl was rude to the waiter.
Traditionally a poor island, the native population has happily embraced the new seasonal lifestyle that has brought them proserity, and the old ways have almost completely disappeared.;The old ways of the native population has almost completely faded away.
For adventurous travelers looking for an introduction to the South, the rewards are rich.;For those who prefer more safety, other options are available.
It covers most but not all close Senate and gubernatorial races.);The radio station covers most close gubernatorial races
The component may also be a contractor.;They were prohibited from being a contractor.
The point is not that investing in foreign companies is necessarily a mistake.;Putting money into foreign companies poses a great risk.
Currently OASI and DI make payments to that Account, and HI receives payment.;The Account is the easiest way to keep track of payments made by OASI and DI on an annual basis.
In addition to the effects on household saving choices, individual accounts may also affect the relationship and interactions between Social Security and private pensions.;Individual accounts would reduce demand for private pensions.
Washington Post reports two attempts by private companies to grow embryos--a practice banned among federally funded researchers but allowed in the private sector.;The Washington Post was the first company to report on attempts of private companies growing embryos.
a plausible increase in the penetration of computer ownership by households over the course of a single year.;Computer ownership by households usually increases in a year.
But the explanation is institutional, not ideological.;Many experts have argued that it's impossible to separate the institutional from the ideological in the circumstances.
You and Tuppence have been sticking together like Siamese twins.;You and Tuppence have been hand in glove.
Below the Rond-Point, the mood changes and a pleasant park leads you past two the Petit Palais, all steel and glass, and the Grand Palais.;The mood changes below the Rond-Point, and a pleasant park leads you past two the Petit Palais, all steel and glass, and the Grand Palais.
Participants generally agreed that improvements in corporate governance will bring about improvements in auditing.;The participants only agreed on a few subjects.
AUTHORIZING AND APPROVING ;Granting permission.
Ever see a contemplative Power Ranger?;Ever see a Power Ranger consider the consequences of their actions?
However, I believe that additional actions by the board and AICPA management will be needed to restore trust and confidence in the Institute over the longer-term.;Trust and confidence in the Institute have been lost forever.
Every tube contained a body, and every body was a famous figure from history.;The tubes held everyday people.
"Four sikhara domes rise above the entrance-porch in addition the mandapa hall for worshippers; a larger hall for dancing-girls; and the inner sanctuary, surrounded by an ambulatory for walking around the image of the deity.";Visitors are not permitted to walk around the image of the deity, but must sit quietly in front of it.
The great Kanto earthquake of 1923 destroyed some 60,000 homes in Yokohama and took over 20,000 lives.;Yokohama took a long time to recover from the earthquake.
oh was that good i heard oh okay;Yes, I heard that was really good.
The only adult males allowed in the Harem were the Black Eunuchs, who were in charge of security and administration.;The Black Eunuchs were responsible for the security and administration of the Harem.
Due to the amount of information now available, power has shifted from the physician to the patient.;Doctors have more power than ever thanks to better data availability.
i know i am um i don't know anybody in their right mind that says that that i'm doing it because i want to i;I know there are people who think I'm doing it because I desire to.
Isn't that America's last bastion of mobsters, racists, and hacks?;It's America's first wave of racists. 
"Let me try it."" She began snapping her fingers and saying the word eagerly, but nothing happened.";She became frustrated when the spell didn't work. 
There is also an archaeological museum that displays older relics, including examples of Mycenaean pottery.;The museum is completely empty and doesn't have anything in it.
There are nonetheless a number of practices and alternative strategies that senior executives in leading organizations use to help define and institute their CIO positions to effectively meet business needs.;There are no practices and strategies that can help CIO positions to meet business needs at the moment.
By one estimate, Russia's economic output would more than double if the Russians simply sold off their natural resources instead of trying to make something out of them.;It is possible that Putin wants to develop the financial independence and work skills of Russians and the loss of money in less profit to merely selling off materials is worth the manufacturing expertise gained by his people as they create goods within their own country. 
Research over the last 20 years has changed the scientific view of life.;The last 5 years of research have a higher proportion influence.
Perhaps he should clear out even farther and head for California.;Maybe he should head for California to clear out even farther?
yeah well uh we're not uh really sailors but i want some summer soon to um hire a sailboat with a captain since we're not you know versed in that and uh go to the Caribbean;He has sailed a little.
For the moment, he sought refuge in retreat, and left the room precipitately. ;He stayed put and sat on the floor.
In June you can watch dealers haggling over heaps of white silkworm cocoons.;During the summer months dealers barter for piles of silkworm cocoons.
The results looked like Versace melded with Blade Runner , says Newsweek 's Steven Levy.;Steven Levy has never seen Blade Runner.
uh you know if you have a large acid spill you know well gee maybe you better check this person who's handling all these acids you know i work with a wafer fab so we do a lot with chemicals and acids and;Acid is handled by workers. 
The bourgeoisie showed off its new prosperity with extravagant furnishings, silks, satins, and baubles, and in 1852 Paris opened its first department store, Au Bon Marche.;Paris opened the first department store.
He waited for the group on the nearby 18 th green to finish.;He was patient while hte group on the 18th hole finished.
i think so i don't know i just uh i'm unhappy with it but and well i'm i'm sort of semi fortunate right now i'm a graduate student so i don't make that much what i make isn't taxed very highly because i'm still in school;I have never been a college student.
He thought about ways to achieve this life goal for a long time, which means until he learned the basics of text editing, which happened at his first job at a firm trading in plastic bags landfill disposal permits.;He thought about ways to achieve his life goals for a long time.
Kofukuji's many surviving artworks and artifacts are housed in its newest building, the Museum of National Treasures, a fireproof repository built in 1958 to honor Kofukuji's immense cultural and historic importance.;The fireproof repository built in 1958 is considered to be enough to protect the artifacts.
no not near as much as i'd like to i mean i've i tend to stay pretty busy at my job and uh;If my job wasn't so busy, I do that a lot more.
We have a problem concerning gift etiquette.;The problem we have with gift etiquette is people not knowing how to choose appropriate gifts.
The Inglethorps did not appear. ;The Inglethorps were the first ones to turn up.
equivalent to increasing national saving to 19.;National savings are 18 now.
There's a sort of bidding war going on, with law schools offering ever-increasing financial packages -- most of it loans, said Dean Glen. ;No one really cares about the new students coming to their institutions. 
Today, as always, the time-honored occupations of fishing and farming support Martinique's fragile existence the delicious rum also helps.;Martinique makes more money from fishing than from farming.
Comments regarding enforcement issues and questions raised by the regulated industry were addressed by EPA in four Detergent Rule Question and Answer Documents.;All the issues and questions raised by the regulated industry were addressed by the EPA.
The Ottoman Empire surrendered when World War I ended the following year, and, following a declaration by the League of Nations (the forerunner to the United Nations), Britain became rulers of Palestine by mandate.;If the Ottoman Empire never surrendered, Palestine wouldn't have been ruled by the British.
You're mad.;You are still sane.
Inside, a huge mountain of a man, even bigger than Thorn, fought with a huge two-handed axe.;The man was extremely large. 
Jon had only seen two people move that fast in his life;Jon knew at least 500 people with the same speed.
We developed technical assistance funds for creative planning projects and obtained a $15.;No technical assistance funds for creative projects were developed.
I have done my best to target unpopulated areas at unpopulated times, but the guilt still weights heavy on my soul.';Many people have died even though the areas were supposed to be unpopulated.
5 billion, but households' wealth declined by nearly $842 billion (2 percent) largely as a result of the drop in the market value of households' stock holdings.;The value of households' stock holdings dropped and this contributed to a decline in household wealth.
Thurmond announced a few weeks ago that he won't run again.;Thurmond was defeated in six previous elections.
Auditors will need to exercise professional judgment in assessing the significance of audit results or findings.;Auditors are not responsible for the assessment of audit results.
Although a great deal of attention has been paid to the wealth effect from the stock market boom of the 1990s, half of American households did not own stocks as of 1998, according to the 1998 Survey of Consumer Finance.;There was no stock market boom in the 1990s. 
Where's Tommy? ;Do you know where Tommy is?
"Moreover, the realignment will help us to enhance our longterm capacity by improving recruitment and retention; building a succession plan; focusing on emerging issues; and leveraging technology opportunities for improvements to clients, processes, and employees.";Long term capacity will be improved by the realignment.
The lot upon which it is being built had been vacant.;The lot had been vacant.
that if i were living in Mexico and trying to raise several children and i could see across the border where the good life would be for my children;I believe Mexico is the best place to raise children.
Or he hasn't really thought it through, which itself would cast doubt on the depth of his faith.;His faith may be lacking.
Network externalities are in.;The public is not informed how the network works.
We could use their assistance should it be needed.;We might need help every day.
Not a pleasant prospect and not one easily avoided---not even by any reform package or proposal that I've seen.;The prospect can be avoided by simply following the very valid proposals received.
um-hum yeah i end up well yeah i mean i do a lot of like even weekender kind of things i go out for just one or two nights uh it's not my favorite thing but i can do it a lot more often so like over at the uh particularly in the uh the fall and spring when the insects haven't come out yet uh where they're already gone uh you know i spend almost every weekend up in the mountains and i guess i live about five hours away from some place to go hiking where i am now;I don't mind camping for a couple nights in the fall and spring.
The result was the four Raphael Rooms (Stanze di Raffaello).;The result was 3 Raphael Rooms.
Nonetheless, based on discussions with several states, the application review process is estimated to take approximately 38 weeks (9-10 months).;The application review process was discussed only with corporations. 
that can be a mess we camped at the beach one time and that was sort of miserable you just couldn't everywhere you went there was sand you couldn't even when you're eating it it was in your bed;It is a bad idea to camp and eat on a beach.
Grand row! ;It was a good row, but it could've been better.
Acidic deposition or acid rain occurs when SO2 and NOx in the atmosphere react with water, oxygen, and oxidants to form acidic compounds.;Water and nitrogen in the atmosphere cause the acid rain.
Pointe Pitre's cathedral, the Basilique Saint-Pierre et Saint-Paul, features unusual metal columns and balconies.;The unusual polystyrene columns and balconies of the Basilique Saint-Pierre et Saint-Paul can be found in Pointe Pitre.
Had that piquant gipsy face been at the bottom of the crime, or was it 73 the baser mainspring of money? ;Was that gipsy face responsible for the crime against the old woman?
i would sort of like to uh think about something in the way of uh uh sort of a sporty car but not any not you know a luxury type sporty one but um;I'm thinking about a very functional, ordinary type of car but I wouldn't mind a luxury car either
uh no i didn't;I decided to do it and so I did.
we drive sixty five oh yes well;The vehicle was a hybrid in which we drove 65.
Major tourist shops have forms and details.;The major tourist shops don't have forms.
Randy's Tough Love Wrap-Up;The first version of the Wrap-up of Randy's Tough Love.
yeah i'm in North Carolina;I'm in South Carolina.
He has so much experience and, as shown by the last interview, there are a lot of us out there who could benefit from it.;It was obvious from the interview that he was not very experienced and people should not look up to him. 
Serious auto racing arrived in Las Vegas in 1996 with the opening of the Las Vegas Motor Speedway, 17 miles (27 km) north of Downtown on Interstate 15.;The Las Vegas Motor Speedway continues to be the city's top tourist attraction.
He was watching Muller as if the sergeant, rather than his men, was the focal point of any future attack.;Muller had something fascinating about him, so he attracted all the attention.
"I could feel gazes on my back; people peering out from between curtains, stealing glimpses through letterboxes.";It was very strange to feel like people were watching us.
Good.' Natalia glared.;Natalia smiled.
Sophisticated research is required to tease apart the complex interactions between These variables.;The variables are actually quite simple and easy to understand.
What about me?;Me too?
they use the the injection thing or whatever it is;They use lethal injection.
 He was here less than two days and already he thought of this town as home, something he wished to protect.;The man left the town after 24 hours.
" ""All whose true names they could find, that is,"" Garm amended.";Everyone's true name they could find was added to the book.
Since 1917, Grand Central Market (at 317 South Broadway) has provided the city with a daily cornucopia of enticing fresh produce, fish, poultry, meat, and exotic foodstuffs.;Up until 1917 was when the Central Market gave away free food.
According to HUD staff, after the Economic Analysis was submitted to OMB, HUD made changes in the Analysis to maintain its consistency with the rule, to which minor changes had been made as described below.;It took staff one month to make the changes to the  Economic Analysis.
Had they any clue, or 103 would the whole thing remain in the category of undiscovered crimes? ;These villains get more naive every year.
